RESOURCE_ID,GENERATION_UNIT_ID,NODE_ID,AGGE_TYPE,RESOURCE_TYPE,COMMENTS,EFF_START_DT_GMT,EFF_END_DT_GMT,EFF_START_DT,EFF_END_DT
BGD_6_BAG,BGD_6_BAG,BGD_GNODEBAG,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
AKINGS_6_AMESR1,AKINGS_6_AMESR1,AKINGS02_7_N001,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
NGHTGALE_1_UNIT,NGHTGALE_1_UNIT,NGHTGALE_GNODEIT,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
MHD_7_BSN2,MHD_7_BSN2,MHD_7_BSN2GNODE,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
VLYHOM_7_SSJID,VLYHOM_7_SSJID,VALLYHM_1_N004,N,GEN,Comments,2022-04-15T07:00:00-00:00,2031-01-01T07:59:59-00:00,2022-04-15T00:00:00,2030-12-31T23:59:59
APLHIL_1_SFKHY1,APLHIL_1_SFKHY1,APLHILGN_7_N002,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
SUNNYSIU_6_UNIT,SUNNYSIU_6_UNIT,SUNNYSIU_NODET,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
SAUGUS_6_QF,SAUGUS_6_QF,SAUGUS_6_N008,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
CORCAN_1_SOLAR1,CORCAN_1_SOLAR1,CORCORAN_7_N001,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
COYTEJCT_6_ABIQUIUHYDRO,COYTEJCT_6_ABIQUIUHYDRO,COYTEJCT_6_ABIQUIUHYDROGNODE,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
GLOW_6_SOLAR,GLOW_6_SOLAR,TOT427A_7_N001,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
